V1324Sco_Wagner_VLT_UVES_2012Jun04_1.txt,0,1,NA,ADU,2456082,Wagner,VLT,UVES,0.02,3700,5000
V1324Sco_Wagner_VLT_UVES_2012Jun04_2.txt,0,1,NA,ADU,2456082,Wagner,VLT,UVES,0.02,5655,7595
V1324Sco_Wagner_VLT_UVES_2012Jun04_3.txt,0,1,NA,ADU,2456082,Wagner,VLT,UVES,0.02,7564,9500
V1324Sco_Bohlsen_Vixen_LISASpec_2012Jun8.txt,0,1,NA,Counts,2456086,Bohlsen,Vixen VC200L,LISA spectrograph,0.5,3800,8000
V1324Sco_Bohlsen_Vixen_LISASpec_2012Jun14.txt,0,1,NA,Counts,2456092,Bohlsen,Vixen VC200L,LISA spectrograph,0.5,3800,8000
V1324Sco_Bohlsen_Vixen_LISASpec_2012Jun18.txt,0,1,NA,Counts,2456096,Bohlsen,Vixen VC200L,LISA spectrograph,0.5,3800,7250
V1324Sco_Buil_Celestron_LISASpec_2012Jun20.txt,0,1,NA,Counts,2456098,Buil,0.28 Meter Celestron,LISA spectrograph,0.6,3700,9500
V1324Sco_Walter_SMARTS_RCSpec_2012Jun21.txt,0,1,2,erg/cm^2/s/A,2456099,Walter,SMARTS 1.5 Meter,RC Spectrograph,5.5,3240,6940
V1324Sco_Walter_SMARTS_RCSpec_2012Jun23.txt,0,1,2,erg/cm^2/s/A,2456101,Walter,SMARTS 1.5 Meter,RC Spectrograph,1,5620,7250
V1324Sco_Buil_Celestron_LISASpec_2012Jun24.txt,0,1,NA,Counts,2456102,Buil,0.28 Meter Celestron,LISA spectrograph,6.2,3700,5420
V1324Sco_Walter_SMARTS_RCSpec_2012Jun25.txt,0,1,2,erg/cm^2/s/A,2456103,Walter,SMARTS 1.5 Meter,RC Spectrograph,1.5,3650,5420
V1324Sco_Walter_SMARTS_RCSpec_2012Jul03.txt,0,1,2,erg/cm^2/s/A,2456111,Walter,SMARTS 1.5 Meter,RC Spectrograph,1.5,3650,6940
V1324Sco_Walter_SMARTS_RCSpec_2012Jul07.txt,0,1,2,erg/cm^2/s/A,2456115,Walter,SMARTS 1.5 Meter,RC Spectrograph,1,5620,9500
V1324Sco_Walter_SMARTS_RCSpec_2012Jul11.txt,0,1,2,erg/cm^2/s/A,2456119,Walter,SMARTS 1.5 Meter,RC Spectrograph,5.5,3240,6940
V1324Sco_Walter_SMARTS_RCSpec_2012Jul15.txt,0,1,2,erg/cm^2/s/A,2456123,Walter,SMARTS 1.5 Meter,RC Spectrograph,1,5620,9200
V1324Sco_Chomiuk_Magellan_MIKE_2012Jul16.txt,0,1,NA,erg/cm^2/s/A,2456124,Chomiuk,Clay Magellan,MIKE,0.035,3700,9500
V1324Sco_Walter_SMARTS_RCSpec_2012Jul19.txt,0,1,2,erg/cm^2/s/A,2456127,Walter,SMARTS 1.5 Meter,RC Spectrograph,5.5,3240,10000
V1324Sco_Wagner_LBT_MODS1_2013May20.txt,0,1,NA,erg/cm^2/s/A,2456432,Wagner,LBT,MODS1,0.5,3420,7000
V1324Sco_Chomiuk_SOAR_Goodman_2013Aug04.txt,0,1,NA,Counts,2456508,Chomiuk,SOAR,Goodman,1,3000,7000
